"year","month","day","tmax","measurement.flag.4","quality.flag.4","source.flag.4","tmin","measurement.flag.5","quality.flag.5","source.flag.5"
2001,2,24,222,NA,NA,"0",100,NA," ","0"
2001,2,25,189,NA,NA,"0",83,NA," ","0"
2001,2,26,200,NA,NA,"0",44,NA," ","0"
2001,2,27,228,NA,NA,"0",44,NA," ","0"
2001,2,28,222,NA,NA,"0",94,NA," ","0"
2001,2,29,228,NA,NA,"0",83,NA," ","0"
2001,2,30,267,NA,NA,"0",61,NA," ","0"
2001,2,31,267,NA,NA,"0",72,NA," ","0"
2001,3,1,178,NA,NA,"0",72,NA," ","0"
2001,3,2,161,NA,NA,"0",50,NA," ","0"
2001,3,3,144,NA,NA,"0",-6,NA," ","0"
2001,3,4,161,NA,NA,"0",11,NA," ","0"
2001,3,5,183,NA,NA,"0",22,NA," ","0"
2001,3,6,128,NA,NA,"0",67,NA," ","0"
2001,3,7,144,NA,NA,"0",44,NA," ","0"
2001,3,8,133,NA,NA,"0",0,NA," ","0"
2001,3,9,161,NA,NA,"0",50,NA," ","0"
2001,3,10,183,NA,NA,"0",17,NA," ","0"
2001,3,11,150,NA,NA,"0",56,NA," ","0"
2001,3,12,189,NA,NA,"0",17,NA," ","0"
2001,3,13,133,NA,NA,"0",44,NA," ","0"
2001,3,14,183,NA,NA,"0",17,NA," ","0"
2001,3,15,189,NA,NA,"0",17,NA," ","0"
2001,3,16,194,NA,NA,"0",56,NA," ","0"
2001,3,17,233,NA,NA,"0",61,NA," ","0"
2001,3,18,222,NA,NA,"0",61,NA," ","0"
2001,3,19,156,NA,NA,"0",89,NA," ","0"
2001,3,20,133,NA,NA,"0",39,NA," ","0"
2001,3,21,189,NA,NA,"0",17,NA," ","0"
2001,3,22,189,NA,NA,"0",50,NA," ","0"
2001,3,23,244,NA,NA,"0",50,NA," ","0"
2001,3,24,289,NA,NA,"0",78,NA," ","0"
2001,3,25,300,NA,NA,"0",106,NA," ","0"
2001,3,26,239,NA,NA,"0",89,NA," ","0"
